strategy,token,timeframe,sl_mult,tp_mult,pf,win_rate,trades,max_dd,net_profit,sharpe,avg_rr,score,passed,reject_reason
Mean Rev,SOL,1H,1.0,1.5,0.93,54.9,51,28.7,-5.4,-0.04,1.11,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.0,2.0,0.88,49.0,51,29.1,-9.1,-0.09,1.05,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.0,2.5,0.93,49.0,51,27.6,-5.4,-0.04,1.09,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.0,3.0,1.02,50.0,50,26.1,1.2,0.05,1.12,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.0,4.0,1.02,50.0,50,27.1,1.9,0.06,1.13,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.0,5.0,1.02,50.0,50,28.6,1.7,0.05,1.13,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.25,1.5,1.22,64.0,50,22.7,12.1,0.21,1.04,1.22,True,
Mean Rev,SOL,1H,1.25,2.0,1.1,54.0,50,21.9,5.6,0.11,0.96,1.1,True,
Mean Rev,SOL,1H,1.25,2.5,1.15,54.0,50,20.7,9.0,0.16,0.99,1.15,True,
Mean Rev,SOL,1H,1.25,3.0,1.28,55.1,49,19.4,15.6,0.25,1.02,1.28,True,
Mean Rev,SOL,1H,1.25,4.0,1.29,55.1,49,20.2,16.2,0.25,1.03,1.29,True,
Mean Rev,SOL,1H,1.25,5.0,1.29,55.1,49,21.5,16.0,0.25,1.02,1.29,True,
Mean Rev,SOL,1H,1.5,2.0,1.12,55.1,49,18.9,6.4,0.13,0.9,1.12,True,
Mean Rev,SOL,1H,1.5,2.5,1.18,55.1,49,17.8,9.2,0.17,0.92,1.18,True,
Mean Rev,SOL,1H,1.5,3.0,1.3,56.2,48,16.6,15.0,0.26,0.95,1.3,True,
Mean Rev,SOL,1H,1.5,4.0,1.31,56.2,48,17.3,15.6,0.26,0.95,1.31,True,
Mean Rev,SOL,1H,1.5,5.0,1.31,56.2,48,18.5,15.4,0.26,0.95,1.31,True,
Mean Rev,SOL,1H,2.0,2.5,1.18,55.6,45,15.8,7.1,0.16,0.83,1.18,True,
Mean Rev,SOL,1H,2.0,3.0,1.26,56.8,44,14.9,9.7,0.21,0.87,1.26,True,
Mean Rev,SOL,1H,2.0,4.0,1.29,56.8,44,15.4,11.2,0.23,0.88,1.29,True,
Mean Rev,SOL,1H,2.0,5.0,1.29,56.8,44,16.3,11.1,0.23,0.88,1.29,True,
Mean Rev,SOL,1H,2.5,3.0,1.13,58.1,43,14.7,4.1,0.11,0.78,1.13,True,
Mean Rev,SOL,1H,2.5,4.0,1.16,58.1,43,15.2,5.2,0.14,0.79,1.16,True,
Mean Rev,SOL,1H,2.5,5.0,1.16,58.1,43,15.9,5.1,0.14,0.79,1.16,True,
Mean Rev,ETH,1H,1.0,1.5,1.61,64.3,70,30.7,70.7,0.64,1.09,0.0,False,max_dd>=25.0
